"","lat","long","sog","cog","heading","rot","nav_stt","timestamp","mmsi","shiptype","ship_name","year_of_build","country_of_build","ship_status_eff_date","ship_type_group","ship_type_level2","flag_code","flag_eff_date","flag_name","port_of_registry","call_sign","charterer_latest_reported","class_narrative","displacement","draught","length_registered","net_tonnage","pandi_club","sale_price_usd","doc_company","group_ben_owner","group_ben_ownercountry_ofcontrol","operator","registered_owner","registered_owner_countryofregistration","ship_manager","ship_manager_countryofcontrol","technical_mgr","ship_builder","grosstonnage","deadweight","lengthoverallloa","lengthbetweenperpendicularslbp","countryofeconomicbenefit","fueltype1capacity","fueltype1code","fueltype1first"
"285","40.8101","28.88918","0.4000000059604645","144.0","338.0","0.0","0.0","2022-02-16 13:52:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"286","40.388683","27.994387","0.10000000149011612","349.29998779296875","91.0","0.0","1.0","2022-02-16 13:43:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"287","40.38845","27.994373","0.10000000149011612","194.8999938964844","87.0","0.0","1.0","2022-02-16 14:05:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"289","44.6184","37.89346","6.0","143.1999969482422","144.0","0.0","0.0","2022-02-16 14:32:00",273353480,"75","RENE",1989,"Bulgaria",20130124,"Tanker-<=4,999dwt","Tankers","RUS",201211,"Russia","Novorossiysk","UBCJ8","","Russian Maritime Register (2012-11-00) RS: Special Survey Date: 2022-12-21 Class Notation: KM(*) Ice3 R2 oil tanker(>60A degree C)(ESP)",3845,5.375,".000",1014,"Unknown","NULL","Unknown","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Russia","Unknown","Ivan Dimitrov",1896,3365,77.53,73.24,"Russia",".00","YY","Yes, But Type Not Known"
"290","40.828590000000005","28.921614","3.7999999523162837","137.30000305175778","153.0","127.0","0.0","2022-02-16 07:42:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"291","40.969227000000004","28.920053000000003","0.5","122.5999984741211","117.0","-8.0","1.0","2022-02-16 13:50:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
"294","40.78845","28.922733","6.4000000953674325","183.6000061035156","185.0","0.0","0.0","2022-02-16 08:08:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"295","40.881035","29.174066999999997","0.10000000149011612","81.0","511.0","-128.0","1.0","2022-02-16 08:07:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"296","40.868595","29.182322999999997","0.10000000149011612","95.9000015258789","192.0","0.0","1.0","2022-02-16 08:18:00",351760000,"75","IMMENSITY",2002,"Croatia",20200914,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202011,"Panama","Panama","H3NH","","Polski Rejestr Statkow (2020-11-00) PR: Special Survey Date: 2017-08-28 Class Notation: KM GENERAL CARGO SHIP (L2) AUT",12836,8.33,".000",2988,"London P&I Club",14800000,"Glory Denizcilik ve Gemi","Unknown","","Glory Denizcilik ve Gemi","Galesburg BV","Netherlands","Glory Denizcilik ve Gemi","Turkey","Glory Denizcilik ve Gemi","Brodotrogir dd",6354,9766,108.5,99.6,"Turkey",32,"DF","Distillate Fuel"
"297","40.80712","28.8854","0.8000000119209291","161.1999969482422","154.0","0.0","0.0","2022-02-16 12:42:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"298","40.73485","28.928726","0.4000000059604645","140.19999694824222","346.0","0.0","0.0","2022-02-16 13:47:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"299","40.969746","28.919794","0.10000000149011612","248.8000030517578","142.0","-5.0","1.0","2022-02-16 12:59:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
"300","44.156155","28.643459999999997","0.10000000149011612","13.5","185.0","0.0","5.0","2022-02-16 09:13:00",636021019,"75","DISCOVERY",2012,"China, People's Republic Of",20121018,"Bulk Carrier-Large Handy","Bulk Carriers","LIB",202108,"Liberia","Monrovia","5LBV8","","Nippon Kaiji Kyokai (2013-09-00) NK: Special Survey Date: 2017-08-21 Class Notation: NS(CSR, BC-A, BC-XII, GRAB 25, PSPC-WBT)(IC IS)(ESP)(IWS)(PSCM)(IHM) /MNSCHG, MPP, LSA, RCF, M0, AFS, BWM",46970,10.518,183.682,12191,"Swedish Club",14200000,"BSM GR Management Ltd","Costamare Shipping Co SA","Greece","Costamare Shipping Co SA","Cavalaire Marine Corp","Liberia","Costamare Shipping Co SA","Greece","BSM GR Management Ltd","Zhejiang Ouhua Shipbuilding Co",24195,37019,189.99,183.68,"Greece",130,"DF","Distillate Fuel"
"301","40.750668","29.691526","10.100000381469727","128.5","511.0","","","2022-02-16 11:48:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"302","41.380516","29.024517","0.699999988079071","22.0","7.0","0.0","0.0","2022-02-16 13:12:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"303","40.75458","28.912653000000002","0.4000000059604645","150.3000030517578","274.0","0.0","0.0","2022-02-16 09:27:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"304","40.8808","29.175283","0.10000000149011612","191.0","511.0","-128.0","1.0","2022-02-16 11:48:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"305","40.96906","28.920374","0.20000000298023224","108.8000030517578","120.0","8.0","1.0","2022-02-16 13:53:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
"307","40.3899","27.996634000000004","0.10000000149011612","201.6999969482422","205.0","0.0","1.0","2022-02-16 08:18:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"308","41.168327000000005","29.068808","11.300000190734865","219.3999938964844","511.0","","","2022-02-16 06:48:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"309","40.74","28.923653","0.4000000059604645","144.6999969482422","15.0","0.0","0.0","2022-02-16 12:42:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"310","40.80862","28.887987","0.5","89.5999984741211","263.0","0.0","0.0","2022-02-16 13:07:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"311","40.88105","29.174115999999998","0.10000000149011612","304.0","511.0","-128.0","1.0","2022-02-16 04:43:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"312","40.8806","29.175265999999997","0.10000000149011612","243.0","511.0","-128.0","1.0","2022-02-16 13:47:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"313","40.750732","29.587670000000003","15.699999809265135","279.5","277.0","0.0","0.0","2022-02-16 13:09:00",244010871,"75","HEEMSKERKGRACHT",2009,"China, People's Republic Of",20090821,"General Cargo 10,000-14,999dwt","Dry Cargo/Passenger","NTH",201609,"Netherlands","Amsterdam","PBOQ","","Bureau Veritas (2022-04-00) BV: Special Survey Date: 2022-04-12 Class Notation: I General cargo ship -heavycargo,-equipped for carriage of containers, GREEN PASSPORT EU ,  AUT-UMS , MON-SHAFT , ICE CLASS IA , GRABLOADING , INWATERSURVEY Service Restriction: Unrestricted navigation",17972,8,130.71,4260,"Standard Club",8300000,"Spliethoff's Bevrachtings BV","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Rederij Heemskerkgracht","Netherlands","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Jiangdong Shipyard",9611,12678,138.12,130,"Netherlands",130,"DF","Distillate Fuel"
"314","40.969925","28.919928000000002","0.20000000298023224","235.1999969482422","148.0","-11.0","1.0","2022-02-16 09:08:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
"315","40.88098","29.175265999999997","0.10000000149011612","7.0","511.0","-128.0","1.0","2022-02-16 11:32:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"316","40.703434","29.331274","6.5999999046325675","203.0","206.0","0.0","0.0","2022-02-16 14:12:00",244010871,"75","HEEMSKERKGRACHT",2009,"China, People's Republic Of",20090821,"General Cargo 10,000-14,999dwt","Dry Cargo/Passenger","NTH",201609,"Netherlands","Amsterdam","PBOQ","","Bureau Veritas (2022-04-00) BV: Special Survey Date: 2022-04-12 Class Notation: I General cargo ship -heavycargo,-equipped for carriage of containers, GREEN PASSPORT EU ,  AUT-UMS , MON-SHAFT , ICE CLASS IA , GRABLOADING , INWATERSURVEY Service Restriction: Unrestricted navigation",17972,8,130.71,4260,"Standard Club",8300000,"Spliethoff's Bevrachtings BV","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Rederij Heemskerkgracht","Netherlands","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Jiangdong Shipyard",9611,12678,138.12,130,"Netherlands",130,"DF","Distillate Fuel"
"317","40.7682","29.275209999999998","9.699999809265137","289.70001220703125","511.0","","","2022-02-16 21:02:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"319","41.38715","29.030184000000002","0.4000000059604645","53.0","63.0","0.0","0.0","2022-02-16 14:03:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"320","40.7299","29.394693","10.800000190734863","75.0999984741211","511.0","","","2022-02-16 10:18:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"324","44.81024","36.5716","0.10000000149011612","314.79998779296875","192.0","0.0","1.0","2022-02-16 01:41:00",636018374,"75","QUORN",2010,"China, People's Republic Of",20100226,"Bulk Carrier-Capesize","Bulk Carriers","LIB",201712,"Liberia","Monrovia","D5PK6","Rio Tinto","Det Norske Veritas (2011-03-00)Survey Type: Date: 2010-02  NV: Special Survey Date: 2020-03-27 Class Notation: (+.) 1A1 Bulk carrier BC(A) E0 ESP Grab(25 t) Holds(2,4,6,8)may be empty NAUTICUS(Newbuilding) Recyclable TMON",197779,18.32,283.036,58745,"Unknown",23750000,"Zodiac Maritime Ltd","Zodiac Maritime Ltd","Monaco","Zodiac Maritime Ltd","Hermal Marine Inc","Liberia","Zodiac Maritime Ltd","Monaco","Zodiac Maritime Ltd","Shanghai Jiangnan Changxing SB",91373,178005,292,282,"Monaco",340,"DF","Distillate Fuel"
"325","40.806705","28.888371999999997","0.6000000238418579","248.8000030517578","285.0","0.0","0.0","2022-02-16 15:02:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
