"","lat","long","sog","cog","heading","rot","nav_stt","timestamp","mmsi","shiptype","ship_name","year_of_build","country_of_build","ship_status_eff_date","ship_type_group","ship_type_level2","flag_code","flag_eff_date","flag_name","port_of_registry","call_sign","charterer_latest_reported","class_narrative","displacement","draught","length_registered","net_tonnage","pandi_club","sale_price_usd","doc_company","group_ben_owner","group_ben_ownercountry_ofcontrol","operator","registered_owner","registered_owner_countryofregistration","ship_manager","ship_manager_countryofcontrol","technical_mgr","ship_builder","grosstonnage","deadweight","lengthoverallloa","lengthbetweenperpendicularslbp","countryofeconomicbenefit","fueltype1capacity","fueltype1code","fueltype1first"
"11","44.201023","37.752415","6.300000190734862","201.6000061035156","511.0","-128.0","0.0","2022-02-16 02:30:00",667001368,"75","BANU",1986,"United Kingdom",20150624,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","SIE",202012,"Sierra Leone","Freetown","9LU2171","","Dromon Bureau of Shipping (2020-12-00)",1836,3.899,54.9,552,"Unknown","NULL","Evrim Maritime Co","Unknown","","Evrim Maritime Co","Evrim Maritime Co","Marshall Islands","Evrim Maritime Co","","Evrim Maritime Co","Yorkshire D.D.",794,1400,58.3,54.72,"Turkey",32,"DF","Distillate Fuel"
"12","40.82673","28.885659999999998","0.20000000298023224","264.79998779296875","180.0","0.0","0.0","2022-02-16 07:02:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"13","41.143370000000004","29.060579999999998","11.100000381469727","150.89999389648438","511.0","","","2022-02-16 06:58:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"14","40.389942","27.996392999999998","0.10000000149011612","213.8999938964844","198.0","0.0","1.0","2022-02-16 07:23:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"15","42.193813","41.60471","0.10000000149011612","197.8000030517578","107.0","0.0","1.0","2022-02-16 07:25:00",271048139,"75","TOMRIS-E",2001,"Turkey",20011002,"Tanker-<=4,999dwt","Tankers","TRK",202012,"Turkey","Istanbul","TCA6127","","Turk Loydu (2021-03-00) TL: Class Notation: (+)1A5 FS ICE-B OIL TANKER ESP, (+)M AUT ICE-B CM-PS",6102,6.14,86.616,1268,"Gard","NULL","Alasonya Denizcilik Tic Ltd","Alasonya Denizcilik Tic Ltd","Turkey","Alasonya Denizcilik Tic Ltd","Alasonya Denizcilik Tic Ltd","Turkey","Alasonya Denizcilik Tic Ltd","Turkey","Alasonya Denizcilik Tic Ltd","RMK Marine Gemi Yapim",2654,4454,92.27,86.34,"Turkey",92,"DF","Distillate Fuel"
"16","41.564583","29.36805","11.399999618530273","244.0","246.0","0.0","0.0","2022-02-16 10:36:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"17","41.527332","29.26795","11.0","241.0","243.0","0.0","0.0","2022-02-16 11:03:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"18","40.82242","28.884946999999997","0.4000000059604645","262.60000610351557","99.0","0.0","0.0","2022-02-16 10:27:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"19","40.822853","28.880974","1.100000023841858","171.60000610351562","154.0","0.0","0.0","2022-02-16 10:52:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"20","40.82032","28.881693","0.699999988079071","160.39999389648438","143.0","0.0","0.0","2022-02-16 11:02:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
